benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(16, 16, 16, 10)",triton,8,"(4, 16, 16)",0.0318381,0.3262
matmul,"(16, 16, 16, 10)",triton,8,"(4, 16, 32)",0.0289941,0.3582
matmul,"(16, 16, 16, 10)",triton,8,"(4, 16, 64)",0.0350588,0.2963
matmul,"(16, 16, 16, 10)",triton,8,"(4, 32, 8)",0.019238,0.5399
matmul,"(16, 16, 16, 10)",triton,8,"(4, 32, 16)",0.0155243,0.6691
matmul,"(16, 16, 16, 10)",triton,8,"(4, 32, 32)",0.0154509,0.6722
matmul,"(16, 16, 16, 10)",triton,8,"(4, 32, 64)",0.0385466,0.2695
matmul,"(16, 16, 16, 10)",triton,8,"(4, 64, 8)",0.020268,0.5125
matmul,"(16, 16, 16, 10)",triton,8,"(4, 64, 16)",0.0272321,0.3814
matmul,"(16, 16, 16, 10)",triton,8,"(4, 64, 32)",0.0229503,0.4526
matmul,"(16, 16, 16, 10)",triton,8,"(4, 64, 64)",0.0268032,0.3875
matmul,"(16, 16, 16, 10)",triton,8,"(8, 4, 8)",0.0199108,0.5217
matmul,"(16, 16, 16, 10)",triton,8,"(8, 4, 16)",0.015353,0.6765
matmul,"(16, 16, 16, 10)",triton,8,"(8, 4, 32)",0.027427,0.3787
matmul,"(16, 16, 16, 10)",triton,8,"(8, 4, 64)",0.0267194,0.3887
matmul,"(16, 16, 16, 10)",triton,8,"(8, 8, 8)",0.0201294,0.516
matmul,"(16, 16, 16, 10)",triton,8,"(8, 8, 16)",0.0302259,0.3436
matmul,"(16, 16, 16, 10)",triton,8,"(8, 8, 32)",0.0154811,0.6709
matmul,"(16, 16, 16, 10)",triton,8,"(8, 8, 64)",0.0155015,0.67
matmul,"(16, 16, 16, 10)",triton,8,"(8, 8, 128)",0.0510517,0.2035
matmul,"(16, 16, 16, 10)",triton,8,"(8, 16, 8)",0.0190263,0.5459
matmul,"(16, 16, 16, 10)",triton,8,"(8, 16, 16)",0.0204935,0.5068
matmul,"(16, 16, 16, 10)",triton,8,"(8, 16, 32)",0.0197869,0.5249
matmul,"(16, 16, 16, 10)",triton,8,"(8, 16, 64)",0.0240658,0.4316
matmul,"(16, 16, 16, 10)",triton,8,"(8, 32, 8)",0.0186771,0.5561
matmul,"(16, 16, 16, 10)",triton,8,"(8, 32, 16)",0.021408,0.4852
matmul,"(16, 16, 16, 10)",triton,8,"(8, 32, 32)",0.0294085,0.3532
matmul,"(16, 16, 16, 10)",triton,8,"(8, 32, 64)",0.0208493,0.4982
matmul,"(16, 16, 16, 10)",triton,8,"(8, 64, 8)",0.0194177,0.5349
matmul,"(16, 16, 16, 10)",triton,8,"(8, 64, 16)",0.0296468,0.3503
matmul,"(16, 16, 16, 10)",triton,8,"(8, 64, 32)",0.0252116,0.412
matmul,"(16, 16, 16, 10)",triton,8,"(8, 64, 64)",0.0192746,0.5389
matmul,"(16, 16, 16, 10)",triton,8,"(16, 4, 8)",0.0196255,0.5292
matmul,"(16, 16, 16, 10)",triton,8,"(16, 4, 16)",0.0219011,0.4743
matmul,"(16, 16, 16, 10)",triton,8,"(16, 4, 32)",0.0203786,0.5097
matmul,"(16, 16, 16, 10)",triton,8,"(16, 4, 64)",0.0192965,0.5383
matmul,"(16, 16, 16, 10)",triton,8,"(16, 8, 8)",0.0317147,0.3275
matmul,"(16, 16, 16, 10)",triton,8,"(16, 8, 16)",0.0187713,0.5533
matmul,"(16, 16, 16, 10)",triton,8,"(16, 8, 32)",0.031594,0.3288
matmul,"(16, 16, 16, 10)",triton,8,"(16, 8, 64)",0.0193266,0.5374
matmul,"(16, 16, 16, 10)",triton,8,"(16, 16, 8)",0.00251289,4.1334
matmul,"(16, 16, 16, 10)",triton,8,"(16, 16, 16)",0.00180962,5.7397
matmul,"(16, 16, 16, 10)",triton,8,"(16, 16, 32)",0.00172352,6.0264
matmul,"(16, 16, 16, 10)",triton,8,"(16, 16, 64)",0.00253853,4.0916
matmul,"(16, 16, 16, 10)",triton,8,"(16, 16, 128)",0.00256537,4.0488
matmul,"(16, 16, 16, 10)",triton,8,"(16, 32, 8)",0.00170679,6.0855
matmul,"(16, 16, 16, 10)",triton,8,"(16, 32, 16)",0.00247811,4.1914
matmul,"(16, 16, 16, 10)",triton,8,"(16, 32, 32)",0.00252316,4.1165
matmul,"(16, 16, 16, 10)",triton,8,"(16, 32, 64)",0.00189299,5.4869
matmul,"(16, 16, 16, 10)",triton,8,"(16, 64, 8)",0.00257769,4.0295
matmul,"(16, 16, 16, 10)",triton,8,"(16, 64, 16)",0.00251583,4.1285
matmul,"(16, 16, 16, 10)",triton,8,"(16, 64, 32)",0.00252316,4.1165
matmul,"(16, 16, 16, 10)",triton,8,"(16, 64, 64)",0.00251425,4.1311
matmul,"(16, 16, 16, 10)",triton,8,"(32, 4, 8)",0.0196935,0.5274
matmul,"(16, 16, 16, 10)",triton,8,"(32, 4, 16)",0.0193448,0.5369
matmul,"(16, 16, 16, 10)",triton,8,"(32, 4, 32)",0.0192209,0.5404
matmul,"(16, 16, 16, 10)",triton,8,"(32, 4, 64)",0.0193215,0.5376
matmul,"(16, 16, 16, 10)",triton,8,"(32, 8, 8)",0.0192889,0.5385
matmul,"(16, 16, 16, 10)",triton,8,"(32, 8, 16)",0.0496098,0.2094
matmul,"(16, 16, 16, 10)",triton,8,"(32, 8, 32)",0.0330271,0.3145
matmul,"(16, 16, 16, 10)",triton,8,"(32, 8, 64)",0.0250683,0.4143
matmul,"(16, 16, 16, 10)",triton,8,"(32, 16, 8)",0.00246452,4.2145
matmul,"(16, 16, 16, 10)",triton,8,"(32, 16, 16)",0.00249662,4.1603
matmul,"(16, 16, 16, 10)",triton,8,"(32, 16, 32)",0.00225082,4.6146
matmul,"(16, 16, 16, 10)",triton,8,"(32, 16, 64)",0.00247075,4.2039
matmul,"(16, 16, 16, 10)",triton,8,"(32, 32, 8)",0.00247732,4.1927
matmul,"(16, 16, 16, 10)",triton,8,"(32, 32, 16)",0.00245101,4.2377
matmul,"(16, 16, 16, 10)",triton,8,"(32, 32, 32)",0.00180289,5.7611
matmul,"(16, 16, 16, 10)",triton,8,"(32, 32, 64)",0.00266226,3.9015
matmul,"(16, 16, 16, 10)",triton,8,"(32, 32, 128)",0.00295615,3.5136
matmul,"(16, 16, 16, 10)",triton,8,"(32, 64, 8)",0.0026134,3.9744
matmul,"(16, 16, 16, 10)",triton,8,"(32, 64, 16)",0.00256476,4.0498
matmul,"(16, 16, 16, 10)",triton,8,"(32, 64, 32)",0.00200343,5.1845
matmul,"(16, 16, 16, 10)",triton,8,"(32, 64, 64)",0.00293582,3.5379
matmul,"(16, 16, 16, 10)",triton,8,"(64, 4, 8)",0.0239357,0.4339
matmul,"(16, 16, 16, 10)",triton,8,"(64, 4, 16)",0.0403465,0.2574
matmul,"(16, 16, 16, 10)",triton,8,"(64, 4, 32)",0.0185012,0.5614
matmul,"(16, 16, 16, 10)",triton,8,"(64, 4, 64)",0.0194572,0.5338
matmul,"(16, 16, 16, 10)",triton,8,"(64, 8, 8)",0.0231811,0.4481
matmul,"(16, 16, 16, 10)",triton,8,"(64, 8, 16)",0.0197762,0.5252
matmul,"(16, 16, 16, 10)",triton,8,"(64, 8, 32)",0.020342,0.5106
matmul,"(16, 16, 16, 10)",triton,8,"(64, 8, 64)",0.025803,0.4025
matmul,"(16, 16, 16, 10)",triton,8,"(64, 16, 8)",0.00251697,4.1267
matmul,"(16, 16, 16, 10)",triton,8,"(64, 16, 16)",0.00203436,5.1056
matmul,"(16, 16, 16, 10)",triton,8,"(64, 16, 32)",0.00191537,5.4228
matmul,"(16, 16, 16, 10)",triton,8,"(64, 16, 64)",0.00198272,5.2386
matmul,"(16, 16, 16, 10)",triton,8,"(64, 32, 8)",0.00178347,5.8239
matmul,"(16, 16, 16, 10)",triton,8,"(64, 32, 16)",0.00179078,5.8001
matmul,"(16, 16, 16, 10)",triton,8,"(64, 32, 32)",0.00177413,5.8545
matmul,"(16, 16, 16, 10)",triton,8,"(64, 32, 64)",0.00190078,5.4644
matmul,"(16, 16, 16, 10)",triton,8,"(64, 64, 8)",0.00271453,3.8263
matmul,"(16, 16, 16, 10)",triton,8,"(64, 64, 16)",0.00204376,5.0822
matmul,"(16, 16, 16, 10)",triton,8,"(64, 64, 32)",0.00217487,4.7758
matmul,"(16, 16, 16, 10)",triton,8,"(64, 64, 64)",0.00238157,4.3613
matmul,"(16, 16, 16, 10)",triton,8,"(64, 64, 128)",0.00393313,2.6408
matmul,"(16, 16, 16, 10)",triton,32,"(4, 4, 8)",0.0154855,0.6707
matmul,"(16, 16, 16, 10)",triton,32,"(4, 4, 16)",0.024958,0.4162
