benchmark,shape,method,thread,parameter,time(s),speedup
layernorm,"(256, 256, 10)",triton_tuned,8,"(4,)",0.0071199,2.2728
layernorm,"(512, 512, 10)",clang,1,,0.0534199,1.0
layernorm,"(512, 512, 10)",clang,4,,0.0178129,2.9989
layernorm,"(512, 512, 10)",clang,8,,0.012588,4.2437
layernorm,"(512, 512, 10)",triton_tuned,1,"(8,)",0.036702,1.4555
layernorm,"(512, 512, 10)",triton_tuned,4,"(8,)",0.0155337,3.439
layernorm,"(512, 512, 10)",triton_tuned,8,"(8,)",0.0131912,4.0497
layernorm,"(1024, 1024, 10)",clang,1,,0.198417,1.0
layernorm,"(1024, 1024, 10)",clang,4,,0.0577422,3.4363
layernorm,"(1024, 1024, 10)",clang,8,,0.0325287,6.0998
layernorm,"(1024, 1024, 10)",triton_tuned,1,"(8,)",0.134347,1.4769
layernorm,"(1024, 1024, 10)",triton_tuned,4,"(8,)",0.0481145,4.1239
layernorm,"(1024, 1024, 10)",triton_tuned,8,"(8,)",0.0327563,6.0574
resize,"(32, 32, 1, 100)",triton,1,"(4,)",0.0191174,0.938
resize,"(32, 32, 1, 100)",triton,1,"(8,)",0.0211745,0.8469
resize,"(32, 32, 1, 100)",triton,1,"(16,)",0.0213899,0.8384
resize,"(32, 32, 1, 100)",triton,1,"(32,)",0.0229218,0.7823
resize,"(32, 32, 1, 100)",triton,4,"(4,)",0.00903717,1.9843
resize,"(32, 32, 1, 100)",triton,4,"(8,)",0.00978468,1.8327
resize,"(32, 32, 1, 100)",triton,4,"(16,)",0.0096791,1.8527
resize,"(32, 32, 1, 100)",triton,4,"(32,)",0.0101634,1.7644
resize,"(32, 32, 1, 100)",triton,8,"(4,)",0.00821224,2.1837
resize,"(32, 32, 1, 100)",triton,8,"(8,)",0.00840762,2.1329
resize,"(32, 32, 1, 100)",triton,8,"(16,)",0.00858542,2.0888
resize,"(32, 32, 1, 100)",triton,8,"(32,)",0.00871496,2.0577
resize,"(32, 64, 1, 100)",triton,1,"(4,)",0.0337282,0.9479
resize,"(32, 64, 1, 100)",triton,1,"(8,)",0.0379404,0.8426
resize,"(32, 64, 1, 100)",triton,1,"(16,)",0.038453,0.8314
resize,"(32, 64, 1, 100)",triton,1,"(32,)",0.0412836,0.7744
resize,"(32, 64, 1, 100)",triton,4,"(4,)",0.013307,2.4025
resize,"(32, 64, 1, 100)",triton,4,"(8,)",0.0139944,2.2845
resize,"(32, 64, 1, 100)",triton,4,"(16,)",0.0139327,2.2946
resize,"(32, 64, 1, 100)",triton,4,"(32,)",0.0148965,2.1461
resize,"(32, 64, 1, 100)",triton,8,"(4,)",0.0103914,3.0766
resize,"(32, 64, 1, 100)",triton,8,"(8,)",0.0108314,2.9516
resize,"(32, 64, 1, 100)",triton,8,"(16,)",0.0107772,2.9664
resize,"(32, 64, 1, 100)",triton,8,"(32,)",0.0115032,2.7792
resize,"(32, 128, 1, 100)",triton,1,"(4,)",0.0631969,0.939
resize,"(32, 128, 1, 100)",triton,1,"(8,)",0.071597,0.8288
resize,"(32, 128, 1, 100)",triton,1,"(16,)",0.0725673,0.8177
resize,"(32, 128, 1, 100)",triton,1,"(32,)",0.078071,0.7601
resize,"(32, 128, 1, 100)",triton,4,"(4,)",0.0202618,2.9286
resize,"(32, 128, 1, 100)",triton,4,"(8,)",0.0225368,2.633
resize,"(32, 128, 1, 100)",triton,4,"(16,)",0.0226166,2.6237
resize,"(32, 128, 1, 100)",triton,4,"(32,)",0.0241852,2.4535
resize,"(32, 128, 1, 100)",triton,8,"(4,)",0.0137647,4.3109
resize,"(32, 128, 1, 100)",triton,8,"(8,)",0.0148456,3.9971
resize,"(32, 128, 1, 100)",triton,8,"(16,)",0.0148363,3.9996
resize,"(32, 128, 1, 100)",triton,8,"(32,)",0.0159106,3.7295
resize,"(32, 256, 1, 100)",triton,1,"(4,)",0.122341,0.931
resize,"(32, 256, 1, 100)",triton,1,"(8,)",0.138885,0.8201
