benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,2,"(16, 16, 16)",0.0124315,1.9337
matmul,"(32, 32, 32, 10)",triton,2,"(16, 16, 32)",0.0126973,1.8933
matmul,"(32, 32, 32, 10)",triton,2,"(16, 32, 4)",0.012084,1.9894
matmul,"(32, 32, 32, 10)",triton,2,"(16, 32, 8)",0.0127394,1.887
matmul,"(32, 32, 32, 10)",triton,2,"(16, 32, 16)",0.0122919,1.9557
matmul,"(32, 32, 32, 10)",triton,2,"(16, 32, 32)",0.0126837,1.8953
matmul,"(32, 32, 32, 10)",triton,2,"(32, 4, 4)",0.0125012,1.923
matmul,"(32, 32, 32, 10)",triton,2,"(32, 4, 8)",0.0127839,1.8804
matmul,"(32, 32, 32, 10)",triton,2,"(32, 4, 16)",0.0127107,1.8913
matmul,"(32, 32, 32, 10)",triton,2,"(32, 4, 32)",0.0127136,1.8908
matmul,"(32, 32, 32, 10)",triton,2,"(32, 8, 4)",0.0124241,1.9349
matmul,"(32, 32, 32, 10)",triton,2,"(32, 8, 8)",0.017694,1.3586
matmul,"(32, 32, 32, 10)",triton,2,"(32, 8, 16)",0.0145339,1.654
matmul,"(32, 32, 32, 10)",triton,2,"(32, 8, 32)",0.0126859,1.895
matmul,"(32, 32, 32, 10)",triton,2,"(32, 16, 4)",0.0127974,1.8785
matmul,"(32, 32, 32, 10)",triton,2,"(32, 16, 8)",0.012701,1.8927
matmul,"(32, 32, 32, 10)",triton,2,"(32, 16, 16)",0.0126134,1.9059
matmul,"(32, 32, 32, 10)",triton,2,"(32, 16, 32)",0.0225641,1.0654
matmul,"(32, 32, 32, 10)",triton,2,"(32, 32, 4)",0.00268792,8.9435
matmul,"(32, 32, 32, 10)",triton,2,"(32, 32, 8)",0.00190781,12.6005
matmul,"(32, 32, 32, 10)",triton,2,"(32, 32, 16)",0.00182372,13.1815
matmul,"(32, 32, 32, 10)",triton,2,"(32, 32, 32)",0.00272887,8.8093
matmul,"(32, 32, 32, 10)",triton,4,"(4, 4, 4)",0.0124587,1.9295
matmul,"(32, 32, 32, 10)",triton,4,"(4, 4, 8)",0.0128588,1.8695
matmul,"(32, 32, 32, 10)",triton,4,"(4, 4, 16)",0.0129087,1.8623
matmul,"(32, 32, 32, 10)",triton,4,"(4, 4, 32)",0.0128445,1.8716
matmul,"(32, 32, 32, 10)",triton,4,"(4, 8, 4)",0.0128821,1.8661
matmul,"(32, 32, 32, 10)",triton,4,"(4, 8, 8)",0.0127458,1.8861
matmul,"(32, 32, 32, 10)",triton,4,"(4, 8, 16)",0.0128185,1.8754
matmul,"(32, 32, 32, 10)",triton,4,"(4, 8, 32)",0.0125953,1.9086
matmul,"(32, 32, 32, 10)",triton,4,"(4, 16, 4)",0.0124524,1.9305
matmul,"(32, 32, 32, 10)",triton,4,"(4, 16, 8)",0.0131733,1.8249
matmul,"(32, 32, 32, 10)",triton,4,"(4, 16, 16)",0.0239151,1.0052
matmul,"(32, 32, 32, 10)",triton,4,"(4, 16, 32)",0.0131542,1.8275
matmul,"(32, 32, 32, 10)",triton,4,"(4, 32, 4)",0.0128038,1.8775
matmul,"(32, 32, 32, 10)",triton,4,"(4, 32, 8)",0.012771,1.8823
matmul,"(32, 32, 32, 10)",triton,4,"(4, 32, 16)",0.0132043,1.8206
matmul,"(32, 32, 32, 10)",triton,4,"(4, 32, 32)",0.012772,1.8822
matmul,"(32, 32, 32, 10)",triton,4,"(8, 4, 4)",0.0129793,1.8521
matmul,"(32, 32, 32, 10)",triton,4,"(8, 4, 8)",0.0127389,1.8871
matmul,"(32, 32, 32, 10)",triton,4,"(8, 4, 16)",0.0158341,1.5182
matmul,"(32, 32, 32, 10)",triton,4,"(8, 4, 32)",0.0144169,1.6674
matmul,"(32, 32, 32, 10)",triton,4,"(8, 8, 4)",0.0267317,0.8993
matmul,"(32, 32, 32, 10)",triton,4,"(8, 8, 8)",0.0195473,1.2298
matmul,"(32, 32, 32, 10)",triton,4,"(8, 8, 16)",0.0130352,1.8442
matmul,"(32, 32, 32, 10)",triton,4,"(8, 8, 32)",0.0125957,1.9085
matmul,"(32, 32, 32, 10)",triton,4,"(8, 16, 4)",0.0129276,1.8595
matmul,"(32, 32, 32, 10)",triton,4,"(8, 16, 8)",0.0230225,1.0442
matmul,"(32, 32, 32, 10)",triton,4,"(8, 16, 16)",0.0180001,1.3355
